"uuid","nickname","country","points","overall","CRYSTAL_tier","CRYSTAL_peak","CRYSTAL_worst","CRYSTAL_value","CRYSTAL_retired","CRYSTAL_restricted","SWORD_tier","SWORD_peak","SWORD_worst","SWORD_value","SWORD_retired","SWORD_restricted","SMP_tier","SMP_peak","SMP_worst","SMP_value","SMP_retired","SMP_restricted","MACE_tier","MACE_peak","MACE_worst","MACE_value","MACE_retired","MACE_restricted","NETHERITE_POT_tier","NETHERITE_POT_peak","NETHERITE_POT_worst","NETHERITE_POT_value","NETHERITE_POT_retired","NETHERITE_POT_restricted","AXE_tier","AXE_peak","AXE_worst","AXE_value","AXE_retired","AXE_restricted"
"d9e665aa-a080-49a2-9028-4703503c4644","gabriel12365477","BR","0","2406","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2f5d86e1-50ef-4c50-80a6-3a2ba0a15cec","Alternativo_","BR","0","2407","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0828c2c0-5e10-4422-a7c8-68a0339e1bd3","Pepx_","BR","0","2408","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1b63c66f-30ad-44a9-a4c6-82825db05f6f","zzzkss","BR","0","2409","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9c94f2e1-ab11-4f59-a59c-38e0a8521bc9","BeaYellow_","BR","0","2410","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bc116c06-47a1-41b4-a35f-329214988ab1","2ashzz","BR","0","2411","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"edef704e-cc61-4579-b4f4-7ecd999025b0","awkward4059","BR","0","2412","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1e8a1cc6-6612-47d0-a21f-47190bce711b","Klug3","BR","0","2413","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fecf3da7-348d-4658-902d-5cb7f2c19b04","Amik1337","BR","0","2414","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12e2e665-d4dd-46e6-8e8b-1f759ecd9da2","winter341","BR","0","2415","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f5fd9222-55fd-49ed-a0e0-03a121398bc5","zonit_","AR","0","2416","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"82265ce2-d751-4dee-8b76-9ad6d8c336f7","Feelxz","BR","0","2417","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5bb52e23-33ef-4259-aa1b-7936ca6fe98a","zzbtt","AR","0","2418","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"86269c9e-a044-4aa0-9f7b-e7b6b28b456e","ItzRealBlackz","BR","0","2419","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"729aa81c-7336-40c2-9665-c8a7469afa4d","idkmaconila","BR","0","2420","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44c9b46a-e5da-4cc7-bb60-7b16f16af13c","ImPepopo","BR","0","2421","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"83096580-7268-4c76-a589-a780e9846725","Raf_Br1","BR","0","2422","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c1e41b91-1d5a-4042-bdb2-116e3237d0a9","MeSchulz","BR","0","2423","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"09a9bc02-c542-40d2-80d2-4c820ceb52c6","afiadinho__","BR","0","2424","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1daadba8-bb34-43ee-b534-549c6844ef3e","Divine_Arrow","BR","0","2425","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"788df8a4-cfac-455c-83ab-4eaebf1cfb49","daraleys","BR","0","2426","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e749a13b-6799-41e5-91e5-d194b9d2633a","m8sxn","BR","0","2427","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31b8d620-cb24-4bed-acb6-4217cc140862","awca223545","BR","0","2428","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4d45f0aa-f308-4e3c-95ca-07c08025cf91","EuCoringando_","BR","0","2429","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2bc73a9b-d6c3-4317-8122-14135b20d489","legit10","BR","0","2430","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5b2f468b-7435-457b-9caa-4146827aafd4","vitoor1","BR","0","2431","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ce903769-732e-4ee3-9218-6c7f1b0dbcf6","Flawre13","BR","0","2432","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b114712d-3cf3-48ef-8573-e0a4a141c698","Logeyy00","BR","0","2433","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7d300f31-859a-44a1-9e51-f41c7e16b952","Flipergamer456y","BR","0","2434","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"feacc458-b2b3-4cc4-8729-03317ae38f0e","Ucas475INTZ","BR","0","2435","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2b19f911-d0cd-4b8a-a1b9-dc681584bd89","mbranco","BR","0","2436","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"954e7d18-be82-4e96-a97c-c08b4e7afe2f","Johnpork1952","BR","0","2437","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68dc1dd3-8ac2-4458-9583-6e95b34974cb","dracoqmanz","BR","0","2438","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"083b554c-f335-410c-a02d-715644602569","bigodismo","BR","0","2439","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"242a24e8-f97f-43f9-8adb-abe941756fe7","brSWERZ","BR","0","2440","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b8498f13-49c8-44a0-a548-0dd0c7077237","rwxz_","BR","0","2441","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"477692cd-e574-49a3-92cc-65062d58ad8d","amphemanY7_","BR","0","2442","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
